feature,mean_importance
Light_Conditions,-7.008798971819274e-06
Day_of_Week,-4.159710065376743e-06
Number_of_Vehicles,0.00017717563618246945
Carriageway_Hazards,0.0003812136648737141
Road_Type,0.0005517847055792168
Number_of_Casualties,0.0025145305952126275
Special_Conditions_at_Site,0.002546629822757529
Road_Surface_Conditions,0.003515747419287085
Accident_Severity,0.015092078841612256
Weather_Conditions,0.021923540299356215
Pedestrian_Crossing-Physical_Facilities,0.27586088736937586
Pedestrian_Crossing-Human_Control,0.38188262168870074
