feature,mean_importance
Road_Surface_Conditions,-2.9717122677772277e-06
Weather_Conditions,-2.646546012346102e-06
Road_Type,-2.272218177929312e-06
1st_Road_Number,-7.716347139554547e-07
Light_Conditions,-5.304245934465016e-07
1st_Road_Class,-1.5335099996183426e-07
Day_of_Week,-1.21090015875748e-07
Pedestrian_Crossing-Human_Control,3.6999084001730014e-07
Number_of_Vehicles,4.4426396615206467e-07
Speed_limit,5.001881274412333e-07
Special_Conditions_at_Site,1.2325865317327166e-06
Local_Authority_(District),1.7855387007833004e-06
2nd_Road_Number,2.2991181734107833e-06
Urban_or_Rural_Area,2.4122873563097113e-06
Longitude,4.0131160365605316e-06
Police_Force,4.9299628923209915e-06
Pedestrian_Crossing-Physical_Facilities,5.653118446942939e-06
Location_Easting_OSGR,6.004233506633642e-06
Accident_Severity,6.334736352903484e-06
Latitude,8.366411198923535e-06
Location_Northing_OSGR,1.4947555183588292e-05
Number_of_Casualties,1.8839279330099057e-05
Junction_Control,2.8838197000630714e-05
2nd_Road_Class,4.4970894146730295e-05
Carriageway_Hazards,4.753834839630489e-05
Junction_Detail,5.640886843392086e-05
Did_Police_Officer_Attend_Scene_of_Accident,6.510652417229108
