feature,mean_importance
Road_Type,0.0
Road_Surface_Conditions,0.0
Light_Conditions,0.0
2nd_Road_Number,0.0
Special_Conditions_at_Site,0.0
1st_Road_Number,0.0
Carriageway_Hazards,0.0
Day_of_Week,0.0
Number_of_Casualties,0.0
Number_of_Vehicles,0.0
Accident_Severity,0.0
1st_Road_Class,0.0
Weather_Conditions,0.008528905621451721
Location_Easting_OSGR,0.03378041420909024
Location_Northing_OSGR,0.1818728328813592
Pedestrian_Crossing-Physical_Facilities,0.21135793637991548
Pedestrian_Crossing-Human_Control,0.32822416250445413
