feature,shap_importance
Road_Surface_Conditions,0.1653007143131467
Pedestrian_Crossing-Physical_Facilities,0.16191095421264842
Pedestrian_Crossing-Human_Control,0.08385294788099065
1st_Road_Class,0.034161383530781055
Carriageway_Hazards,0.0011948568995574797
Number_of_Vehicles,0.0004768458176774277
1st_Road_Number,8.42608287422837e-05
Accident_Severity,0.0
Number_of_Casualties,0.0
Day_of_Week,0.0
Road_Type,0.0
2nd_Road_Number,0.0
Light_Conditions,0.0
Weather_Conditions,0.0
Special_Conditions_at_Site,0.0
