feature,mean_importance
Day_of_Week,-0.0008004381956082662
Light_Conditions,0.00925486306321861
Number_of_Casualties,0.01034500431953136
Road_Type,0.01705559489130317
Number_of_Vehicles,0.017850529379507908
Accident_Severity,0.02164641066905486
Weather_Conditions,0.024470831389884817
Road_Surface_Conditions,0.03050751325856891
Carriageway_Hazards,0.03562575727200834
Special_Conditions_at_Site,0.06833449672095052
Pedestrian_Crossing-Human_Control,0.1855488248576934
Pedestrian_Crossing-Physical_Facilities,0.3255934229246392
