feature,mean_importance
Accident_Severity,0.0
Number_of_Casualties,0.0
Day_of_Week,0.0
Road_Type,0.0
2nd_Road_Number,0.0
Light_Conditions,0.0
Weather_Conditions,0.0
Special_Conditions_at_Site,0.0
1st_Road_Number,6.780869386695532e-05
Carriageway_Hazards,0.00020352442419397933
Number_of_Vehicles,0.005880933466351901
1st_Road_Class,0.008313126838585917
Road_Surface_Conditions,0.05601640950482474
Pedestrian_Crossing-Human_Control,0.3363501422218015
Pedestrian_Crossing-Physical_Facilities,0.4695842180761411
