feature,mean_importance
Urban_or_Rural_Area,0.0
Pedestrian_Crossing-Human_Control,0.0
Pedestrian_Crossing-Physical_Facilities,0.0
Speed_limit,0.0
Light_Conditions,0.0
Road_Surface_Conditions,0.0
Junction_Detail,0.0
Number_of_Vehicles,0.0
Road_Type,0.0
Day_of_Week,0.0
Carriageway_Hazards,0.0
Accident_Severity,0.0
2nd_Road_Number,0.0
2nd_Road_Class,0.0
1st_Road_Number,0.0
Special_Conditions_at_Site,0.0
Number_of_Casualties,0.0
1st_Road_Class,1.938166348793783e-09
Junction_Control,2.2616560582172033e-09
Latitude,1.6175408746591897e-07
Location_Easting_OSGR,4.093388559254368e-07
Longitude,6.589075732311482e-07
Location_Northing_OSGR,1.7282272184341013e-06
Local_Authority_(District),2.142876672649527e-06
Police_Force,2.411551071778415e-06
Did_Police_Officer_Attend_Scene_of_Accident,5.0877367489948195
