feature,mean_importance
Day_of_Week,0.0009493311185171605
Light_Conditions,0.01634346929648576
Number_of_Casualties,0.024785441558267694
Carriageway_Hazards,0.028161577194186792
Number_of_Vehicles,0.03179173568305753
Accident_Severity,0.03727611327020368
Road_Type,0.05371381676317537
Road_Surface_Conditions,0.07099302683970152
Weather_Conditions,0.0866544521226591
Special_Conditions_at_Site,0.12254659236535981
Pedestrian_Crossing-Human_Control,0.39799476413635715
Pedestrian_Crossing-Physical_Facilities,0.585113271578775
