feature,shap_importance
Pedestrian_Crossing-Physical_Facilities,0.26057646815644175
Pedestrian_Crossing-Human_Control,0.1580621350246425
Accident_Severity,0.06683443873996771
Number_of_Casualties,0.03304498217866596
Road_Type,0.012283110564122507
Number_of_Vehicles,0.005220293628941535
Carriageway_Hazards,0.002229914003218561
Weather_Conditions,0.001108376421644274
Road_Surface_Conditions,0.0003345196446379068
Special_Conditions_at_Site,0.0003133479492545859
Day_of_Week,1.1342434491695829e-05
Light_Conditions,6.332358225665262e-06
