feature,shap_importance
Location_Northing_OSGR,0.19540724506215376
Pedestrian_Crossing-Human_Control,0.08522311778749889
Pedestrian_Crossing-Physical_Facilities,0.03265734196922779
Weather_Conditions,0.02008887974271485
Location_Easting_OSGR,0.003806276016152843
2nd_Road_Number,0.0
Special_Conditions_at_Site,0.0
Road_Surface_Conditions,0.0
Light_Conditions,0.0
Road_Type,0.0
1st_Road_Number,0.0
1st_Road_Class,0.0
Day_of_Week,0.0
Number_of_Casualties,0.0
Number_of_Vehicles,0.0
Accident_Severity,0.0
Carriageway_Hazards,0.0
